text,retweetCount,replyCount,likeCount,quoteCount,viewCount,timestamp,bookmarkCount,quote,text_length
RT @einarvollset: I read @paulg’s  “How to Make Wealth” in Hackers &amp; Painters when I was in my mid twenties. It’s one of those pieces that…,,,,,,2023-05-07 10:36:27+00:00,,,143
"RT @BillyM2k: dude bookmarks are an awesome twitter feature, especially when preparing for a twitter spaces where you want to talk about pa…",,,,,,2023-02-09 20:03:00+00:00,,,140
RT @BillyM2k: @elonmusk oh that’s actually pretty cool! https://t.co/5m3XiMnazJ,,,,,,2023-01-20 20:23:27+00:00,,,79
RT @SpaceX: Watch Falcon 9 launch 54 Starlink satellites to orbit → https://t.co/wGq3KkoDyY https://t.co/sHdWRcsqZV,,,,,,2022-12-28 09:43:36+00:00,,,115
RT @Tesla: Holiday Update rolling out now 🎅,,,,,,2022-12-14 04:35:41+00:00,,,43
RT @lexfridman: Apple should support free speech.,,,,,,2022-11-28 20:46:36+00:00,,,49
RT @yoyoel: We’re staying vigilant against attempts to manipulate conversations about the 2022 US midterms. Read on for independent analysi…,,,,,,2022-11-02 01:56:53+00:00,,,140
"RT @TwitterMktg: Tonight, 84% of big game TV advertisers Tweeted about their campaigns. 

Thank you for Tweeting with us.",,,,,,2023-02-13 04:46:19+00:00,,,121
"RT @SenBillNelson: It was great to see @SpaceX take a big step forward with Starship's hot fire test! 

Starship is integral to @NASA’s Moo…",,,,,,2023-02-10 20:55:48+00:00,,,140
"RT @SpaceX: Falcon 9 and Dragon vertical on Launch Complex 39A; targeting Wednesday, October 5 for launch of the Crew-5 mission → https://t…",,,,,,2022-10-01 19:45:15+00:00,,,140
RT @BillyM2k: @lexfridman apple should be more transparent about their processes and probably not have such a monopoly,,,,,,2022-11-28 20:46:38+00:00,,,118
RT @SpaceX: Falcon 9 launches the first all-private human spaceflight mission to the @space_station https://t.co/krDfQyaVTO,,,,,,2022-04-08 18:15:50+00:00,,,123
"RT @yoyoel: Update on our efforts to combat hateful conduct: We've not only mitigated the recent surge in harmful behavior, but have reduce…",,,,,,2022-11-09 19:15:54+00:00,,,140
RT @SpaceX: Watch launch of COSMO-SkyMed Second Generation FM2 → https://t.co/bJFjLCzWdK  https://t.co/T1bjltSCe1,,,,,,2022-01-31 23:13:21+00:00,,,113
"RT @YGEXStaff: 【#iKON】
初の静岡公演来て頂いた皆さまありがとうございました❗️
BOBBYのRUNAWAY日本語も遂に初披露❗️
次の名古屋公演も楽しみ💥

一緒に楽しみましょう❗️お待ちしてます☺️

チケット▶️https://t.co/HpzC5aL…",3123,0,0,0,,2017-10-14 17:47:39+00:00,0,,140
RT @bangtan_germany: [INFO] Jungkook am Times Square in New York https://t.co/JgEbMXMyTj,15143,0,0,0,,2017-08-27 20:31:06+00:00,0,,88
RT @VoluntadPopular: La dictadura convocó las elecciones regionales a 8 meses de su vencimiento y lo hacen con la intención de desunir #Uni…,405,0,0,0,,2017-08-19 01:11:17+00:00,0,,140
RT @maludodecorazon: ¡¡PERO TENEMOS LA MEJOR GRAMILLA!! #SomosLaLiga,18,0,0,0,,2017-08-11 04:38:49+00:00,0,,68
